"Ozone","Solar.R","Wind","Temp","Month","Day"
"1",41,190,7.4,67,5,1
"2",36,118,8,72,5,2
"3",12,149,12.6,74,5,3
"4",18,313,11.5,62,5,4
"5",NA,NA,14.3,56,5,5
"6",28,NA,14.9,66,5,6
"7",23,299,8.6,65,5,7
"8",19,99,13.8,59,5,8
"9",8,19,20.1,61,5,9
"10",NA,194,8.6,69,5,10
"11",7,NA,6.9,74,5,11
"12",16,256,9.7,69,5,12
"13",11,290,9.2,66,5,13
"14",14,274,10.9,68,5,14
"15",18,65,13.2,58,5,15
"16",14,334,11.5,64,5,16
"17",34,307,12,66,5,17
"18",6,78,18.4,57,5,18
"19",30,322,11.5,68,5,19
"20",11,44,9.7,62,5,20
"21",1,8,9.7,59,5,21
"22",11,320,16.6,73,5,22
"23",4,25,9.7,61,5,23
"24",32,92,12,61,5,24
"25",NA,66,16.6,57,5,25
"27",NA,NA,8,57,5,27
"28",23,13,12,67,5,28
"29",45,252,14.9,81,5,29
"31",37,279,7.4,76,5,31
"32",NA,286,8.6,78,6,1
"33",NA,287,9.7,74,6,2
"35",NA,186,9.2,84,6,4
"36",NA,220,8.6,85,6,5
"38",29,127,9.7,82,6,7
"41",39,323,11.5,87,6,10
"43",NA,250,9.2,92,6,12
"44",23,148,8,82,6,13
"45",NA,332,13.8,80,6,14
"46",NA,322,11.5,79,6,15
"47",21,191,14.9,77,6,16
"48",37,284,20.7,72,6,17
"49",20,37,9.2,65,6,18
"50",12,120,11.5,73,6,19
"51",13,137,10.3,76,6,20
"54",NA,91,4.6,76,6,23
"55",NA,250,6.3,76,6,24
"57",NA,127,8,78,6,26
"59",NA,98,11.5,80,6,28
"60",NA,31,14.9,77,6,29
"61",NA,138,8,83,6,30
"63",49,248,9.2,85,7,2
"64",32,236,9.2,81,7,3
"67",40,314,10.9,83,7,6
"72",NA,139,8.6,82,7,11
"73",10,264,14.3,73,7,12
"74",27,175,14.9,81,7,13
"75",NA,291,14.9,91,7,14
"76",7,48,14.3,80,7,15
"77",48,260,6.9,81,7,16
"78",35,274,10.3,82,7,17
"82",16,7,6.9,74,7,21
"87",20,81,8.6,82,7,26
"88",52,82,12,86,7,27
"90",50,275,7.4,86,7,29
"92",59,254,9.2,81,7,31
"93",39,83,6.9,81,8,1
"94",9,24,13.8,81,8,2
"95",16,77,7.4,82,8,3
"97",35,NA,7.4,85,8,5
"102",NA,222,8.6,92,8,10
"103",NA,137,11.5,86,8,11
"104",44,192,11.5,86,8,12
"105",28,273,11.5,82,8,13
"107",NA,64,11.5,79,8,15
"108",22,71,10.3,77,8,16
"109",59,51,6.3,79,8,17
"110",23,115,7.4,76,8,18
"111",31,244,10.9,78,8,19
